,Avg Run Size,,,,,,,
GR,22000,,,,,,,
LocNis,630,,,,,,,
Chum,27000,,,,,,,
,,,,,,,,
Week,Dates,Day,GR,GR_per,LocNis,LocNis_per,Chum,Chum_per
32,6-Aug,219,9.788853744,0.000444948,0,0,0,0
32,7-Aug,220,9.788853744,0.000444948,0,0,0,0
32,8-Aug,221,9.788853744,0.000444948,0,0,0,0
32,9-Aug,222,9.788853744,0.000444948,0,0,0,0
32,10-Aug,223,9.788853744,0.000444948,0,0,0,0
32,11-Aug,224,9.788853744,0.000444948,0,0,0,0
32,12-Aug,225,9.788853744,0.000444948,0,0,0,0
33,13-Aug,226,80.52808821,0.003660368,0.268227573,0.000425758,0,0
33,14-Aug,227,80.52808821,0.003660368,0.268227573,0.000425758,0,0
33,15-Aug,228,80.52808821,0.003660368,0.268227573,0.000425758,0,0
33,16-Aug,229,80.52808821,0.003660368,0.268227573,0.000425758,0,0
33,17-Aug,230,80.52808821,0.003660368,0.268227573,0.000425758,0,0
33,18-Aug,231,80.52808821,0.003660368,0.268227573,0.000425758,0,0
33,19-Aug,232,80.52808821,0.003660368,0.268227573,0.000425758,0,0
34,20-Aug,233,148.5330286,0.006751501,1.186388792,0.001883157,0,0
34,21-Aug,234,148.5330286,0.006751501,1.186388792,0.001883157,0,0
34,22-Aug,235,148.5330286,0.006751501,1.186388792,0.001883157,0,0
34,23-Aug,236,148.5330286,0.006751501,1.186388792,0.001883157,0,0
34,24-Aug,237,148.5330286,0.006751501,1.186388792,0.001883157,0,0
34,25-Aug,238,148.5330286,0.006751501,1.186388792,0.001883157,0,0
34,26-Aug,239,148.5330286,0.006751501,1.186388792,0.001883157,0,0
35,27-Aug,240,261.6748566,0.011894312,2.995751979,0.004755162,0,0
35,28-Aug,241,261.6748566,0.011894312,2.995751979,0.004755162,0,0
35,29-Aug,242,261.6748566,0.011894312,2.995751979,0.004755162,0,0
35,30-Aug,243,261.6748566,0.011894312,2.995751979,0.004755162,0,0
35,31-Aug,244,261.6748566,0.011894312,2.995751979,0.004755162,0,0
35,1-Sep,245,261.6748566,0.011894312,2.995751979,0.004755162,0,0
35,2-Sep,246,261.6748566,0.011894312,2.995751979,0.004755162,0,0
36,3-Sep,247,274.7693676,0.012489517,6.569788218,0.010428235,0,0
36,4-Sep,248,274.7693676,0.012489517,6.569788218,0.010428235,0,0
36,5-Sep,249,274.7693676,0.012489517,6.569788218,0.010428235,0,0
36,6-Sep,250,274.7693676,0.012489517,6.569788218,0.010428235,0,0
36,7-Sep,251,274.7693676,0.012489517,6.569788218,0.010428235,0,0
36,8-Sep,252,274.7693676,0.012489517,6.569788218,0.010428235,0,0
36,9-Sep,253,274.7693676,0.012489517,6.569788218,0.010428235,0,0
37,10-Sep,254,145.9718264,0.006635083,5.391551535,0.008558018,0,0
37,11-Sep,255,145.9718264,0.006635083,5.391551535,0.008558018,0,0
37,12-Sep,256,145.9718264,0.006635083,5.391551535,0.008558018,0,0
37,13-Sep,257,145.9718264,0.006635083,5.391551535,0.008558018,0,0
37,14-Sep,258,145.9718264,0.006635083,5.391551535,0.008558018,0,0
37,15-Sep,259,145.9718264,0.006635083,5.391551535,0.008558018,0,0
37,16-Sep,260,145.9718264,0.006635083,5.391551535,0.008558018,0,0
38,17-Sep,261,0,0,0,0,0,0
